_id,Project ID,Addresses,Anchor Address,Status,Ward Number,Ward Name,Affordable Homes Approved,Rent-Controlled Market Units Approved,RGI Homes Approved,geometry
114,ARH0160,4040 Lawrence Avenue East,4040 Lawrence Ave E,Pre-Planning,24,Scarborough-Guildwood,60,67,7,"{""coordinates"": [[-79.19901183, 43.76600352]], ""type"": ""MultiPoint""}"
115,ARH0161,405 Sherbourne Street,405 Sherbourne St,Approved OPAs and Zoning By-Law Amendments,13,Toronto Centre,80,178,9,"{""coordinates"": [[-79.37335558, 43.66460723]], ""type"": ""MultiPoint""}"
116,ARH0162,419 - 425 Coxwell Avenue,425 Coxwell Ave,Completed,19,Beaches-East York,0,0,12,"{""coordinates"": [[-79.32086239, 43.67748517]], ""type"": ""MultiPoint""}"
117,ARH0163,4201 & 4203 Kingston Road,4201 Kingston Rd,Planning Applications Under Review,24,Scarborough-Guildwood,0,0,68,"{""coordinates"": [[-79.1961097, 43.75940725]], ""type"": ""MultiPoint""}"
118,ARH0166,450 - 455 Palmerston Blvd,455 Palmerston Blvd,Planning Applications Under Review,11,University-Rosedale,0,0,10,"{""coordinates"": [[-79.41198614, 43.66123297]], ""type"": ""MultiPoint""}"
119,ARH0167,4620 Eglinton Avenue West and 250 Wincott Drive,4620 Eglinton Ave W,Planning Applications Under Review,2,Etobicoke Centre,2,0,0,"{""coordinates"": [[-79.54601211, 43.67878143]], ""type"": ""MultiPoint""}"
120,ARH0168,4626 Kingston Road phase 1,4626 Kingston Rd,Completed,25,Scarborough-Rouge Park,0,0,22,"{""coordinates"": [[-79.17989488, 43.77514363]], ""type"": ""MultiPoint""}"
121,ARH0169,4628 Kingston Road phase 2,4628 Kingston Rd,Completed,25,Scarborough-Rouge Park,0,0,64,"{""coordinates"": [[-79.17989488, 43.77514363]], ""type"": ""MultiPoint""}"
122,ARH0170,48 Annette Street,48 Annette St,Issued Building Permit,4,Parkdale-High Park,3,0,0,"{""coordinates"": [[-79.46135028, 43.66389279]], ""type"": ""MultiPoint""}"
123,ARH0171,"5, 7, 9, 11, 15 and 19 Cosburn Avenue and 8, 10, 12, 14, 16, 30, 32, 34, 36, 38 and 40 Gowan Avenue",5 Cosburn Ave,Approved OPAs and Zoning By-Law Amendments,14,Toronto-Danforth,10,0,0,"{""coordinates"": [[-79.354556, 43.688269]], ""type"": ""MultiPoint""}"
124,ARH0173,50 Wilson Heights - Block 2,50 Wilson Heights Blvd,Approved OPAs and Zoning By-Law Amendments,6,York Centre,346,383,38,"{""coordinates"": [[-79.44911461, 43.73538198]], ""type"": ""MultiPoint""}"
