_id,Project ID,Addresses,Anchor Address,Status,Ward Number,Ward Name,Affordable Homes Approved,Rent-Controlled Market Units Approved,RGI Homes Approved,geometry
208,ARH0288,"21-53 Broadview Avenue, 344 Eastern Avenue and 18-34 and 40 Lewis Street ",21 Broadview Avenue,Approved OPAs and Zoning By-Law Amendments,14,Toronto-Danforth,6,0,0,"{""coordinates"": [[-79.34866825, 43.65728022]], ""type"": ""MultiPoint""}"
209,ARH0289,685 Lake Shore Blvd East,685 Lake Shore Blvd East,Approved OPAs and Zoning By-Law Amendments,14,Toronto-Danforth,104,0,0,"{""coordinates"": [[-79.34299587, 43.65193824]], ""type"": ""MultiPoint""}"
210,ARH0290,25 Sewells Road (Phase 2),25 Sewells Rd,Approved OPAs and Zoning By-Law Amendments,25,Scarborough-Rouge Park,117,0,0,"{""coordinates"": [[-79.21581642, 43.80741558]], ""type"": ""MultiPoint""}"
211,ARH0291,2500 Don Mills Road,2500 Don Mills Road,Approved OPAs and Zoning By-Law Amendments,17,Don Valley North,17,0,0,"{""coordinates"": [[-79.3478726, 43.7756912]], ""type"": ""MultiPoint""}"
212,ARH0292,4800 Yonge Street,4800 Yonge Street,Approved OPAs and Zoning By-Law Amendments,18,Willowdale,10,0,0,"{""coordinates"": [[-79.41146165, 43.76124824]], ""type"": ""MultiPoint""}"
213,ARH0293,90-110 Eglinton Avenue East,90 Eglinton Avenue East,Approved OPAs and Zoning By-Law Amendments,12,Toronto-St. Pauls,67,0,0,"{""coordinates"": [[-79.39569639, 43.70773739]], ""type"": ""MultiPoint""}"
214,ARH0295,253 Markham Road,253 Markham Road,Planning Applications Under Review,24,Scarborough-Guildwood,49,196,0,"{""coordinates"": [[-79.22022365, 43.74737723]], ""type"": ""MultiPoint""}"
215,ARH0296,300 - 304 The East Mall (Phase 2),304 The East Mall,Planning Applications Under Review,2,Etobicoke Centre,129,0,0,"{""coordinates"": [[-79.55857125, 43.63802101]], ""type"": ""MultiPoint""}"
216,ARH0297,295-349 George St ,349 George Street,Pre-Planning,13,Toronto Centre,0,0,70,"{""coordinates"": [[-79.37358697, 43.6588311]], ""type"": ""MultiPoint""}"
217,ARH0298,1736 - 1746 Weston Road,1746 Weston Rd,Planning Applications Under Review,5,York South-Weston,84,0,0,"{""coordinates"": [[-79.51108433, 43.69818765]], ""type"": ""MultiPoint""}"
218,ARH0299,90 Eastdale Avenue and 2 Secord Avenue,90 Eastdale Avenue,Approved OPAs and Zoning By-Law Amendments,19,Beaches-East York,11,0,0,"{""coordinates"": [[-79.30125472, 43.69480516]], ""type"": ""MultiPoint""}"
219,ARH0300,450 Dufferin Street,450 Dufferin Street,Approved OPAs and Zoning By-Law Amendments,9,Davenport,6,0,0,"{""coordinates"": [[-79.4298059, 43.64574692]], ""type"": ""MultiPoint""}"
220,ARH0301,87 Ethel Avenue,87 Ethel Avenue,Approved OPAs and Zoning By-Law Amendments,5,York South-Weston,141,0,0,"{""coordinates"": [[-79.47215066, 43.66902215]], ""type"": ""MultiPoint""}"
221,ARH0302,1400-1410 Victoria Park Avenue,1400 Victoria Park Avenue,Approved OPAs and Zoning By-Law Amendments,19,Beaches-East York,19,0,0,"{""coordinates"": [[-79.30076385, 43.71902257]], ""type"": ""MultiPoint""}"
222,ARH0304,3050 Pharmacy Avenue,3050 Pharmacy Avenue,Issued Building Permit,22,Scarborough-Agincourt,24,0,0,"{""coordinates"": [[-79.32756338, 43.79595099]], ""type"": ""MultiPoint""}"
223,ARH0305,70 - 86 Lynn Williams Street,70 Lynn Williams St,Approved OPAs and Zoning By-Law Amendments,10,Spadina-Fort York,13,0,0,"{""coordinates"": [[-79.41633052, 43.63937549]], ""type"": ""MultiPoint""}"
224,ARH0306,2400 - 2440 Dundas Street West (Phase 2),2440 Dundas St. W,Planning Applications Under Review,4,Parkdale-High Park,56,0,0,"{""coordinates"": [[-79.45272929, 43.65862499]], ""type"": ""MultiPoint""}"
225,ARH0307,126 - 132 Laird Drive and 134 Laird Drive,126 Laird Dr,Building Permit Application,15,Don Valley West,44,0,0,"{""coordinates"": [[-79.3625389, 43.70726814]], ""type"": ""MultiPoint""}"
226,ARH0308,79 Dunkirk Road,79 Dunkirk Rd,Building Permit Application,19,Beaches-East York,4,0,0,"{""coordinates"": [[-79.31759625, 43.69299345]], ""type"": ""MultiPoint""}"
227,ARH0309,111 Peter Street,111 Peter Street,Approved OPAs and Zoning By-Law Amendments,10,Spadina-Fort York,24,0,0,"{""coordinates"": [[-79.39241553, 43.64767931]], ""type"": ""MultiPoint""}"
228,ARH0310,315 and 325 Front Street West and Rail Corridor (Phase 2),315 Front St W,Approved OPAs and Zoning By-Law Amendments,10,Spadina-Fort York,16,0,0,"{""coordinates"": [[-79.3892499, 43.64363109]], ""type"": ""MultiPoint""}"
229,ARH0311,152-164 Bathurst Street and and 623-627 Richmond Street West,152 Bathurst Street,Approved OPAs and Zoning By-Law Amendments,10,Spadina-Fort York,9,0,0,"{""coordinates"": [[-79.40372695, 43.64615326]], ""type"": ""MultiPoint""}"
230,ARH0312,123 and 123A Parkway Forest Drive,123 Parkway Forest Drive,Approved OPAs and Zoning By-Law Amendments,17,Don Valley North,6,0,0,"{""coordinates"": [[-79.3416702, 43.77598156]], ""type"": ""MultiPoint""}"
231,ARH0314,586 Eglinton Avenue East,586 Eglinton Ave. e.,Approved OPAs and Zoning By-Law Amendments,15,Don Valley West,12,0,0,"{""coordinates"": [[-79.37963869, 43.71098931]], ""type"": ""MultiPoint""}"
232,ARH0315,1025 The Queensway ,1025 The Queensway,Approved OPAs and Zoning By-Law Amendments,3,Etobicoke-Lakeshore,204,0,0,"{""coordinates"": [[-79.51524422, 43.62141496]], ""type"": ""MultiPoint""}"
233,ARH0316,50 Wilson Heights - Block 3 and 4,50 Wilson Heights Blvd,Planning Applications Under Review,6,York Centre,122,137,14,"{""coordinates"": [[-79.44911461, 43.73538198]], ""type"": ""MultiPoint""}"
234,ARH0317,931 Yonge Street,931 Yonge St,Planning Applications Under Review,11,University-Rosedale,75,0,0,"{""coordinates"": [[-79.38871409, 43.67562735]], ""type"": ""MultiPoint""}"
235,ARH0210,80 Dale Avenue,80 Dale Ave,Planning Applications Under Review,24,Scarborough-Guildwood,0,198,0,"{""coordinates"": [[-79.2057405, 43.75275125]], ""type"": ""MultiPoint""}"
